DisplayName;ServiceName;StartType;ServiceType;Description
Central de Segurança;wscsvc;Automatic;Win32OwnProcess, Win32ShareProcess;"O serviço WSCSVC (Central de Segurança do Windows) monitora e relata as configurações de integridade de segurança no computador. As configurações de integridade incluem firewall (ligado/desligado) antivírus (ligado/desligado/desatualizado), antispyware (ligado/desligado/desatualizado), Windows Update (baixar e instalar atualizações automaticamente/manualmente), Controle de Conta de Usuário (ligado/desligado) e Configurações da Internet (recomendado/não recomendado). O serviço fornece APIs COM para que os fornecedores independentes de software registrem e gravem o estado de seus produtos no serviço Central de Segurança. A interface do usuário Segurança e Manutenção usa o serviço para fornecer alertas systray e uma exibição gráfica dos estados de integridade de segurança no painel de controle Segurança e Manutenção. A Proteção de Acesso à Rede (NAP) usa o serviço para relatar os estados de integridade de segurança dos clientes para o Servidor de Políticas de Rede do NAP a fim de tomar decisões sobre quarentena na rede. O serviço também tem uma API pública que permite que os clientes externos recuperem de forma programática o estado de integridade de segurança agregado do sistema."
Cliente da Política de Grupo;gpsvc;Automatic;Win32OwnProcess, Win32ShareProcess;"O serviço é responsável pela aplicação de configurações definidas por administradores para o computador e os usuários pelo componente Política de Grupo. Se o serviço estiver desabilitado, as configurações não serão aplicadas, e aplicativos e componentes não poderão ser gerenciados por meio da Política de Grupo. Qualquer componente ou aplicativo que dependa do componente Política de Grupo talvez não funcione se o serviço estiver desabilitado."
Cliente da Web;WebClient;Disabled;Win32ShareProcess;"Permite que programas baseados em Windows criem, acessem e modifiquem arquivos baseados na Internet. Se este serviço for interrompido, essas funções não estarão disponíveis. Se este serviço for desativado, quaisquer serviços que dele dependam diretamente não serão iniciados."
Cliente de rastreamento de link distribuído;TrkWks;Manual;Win32ShareProcess;"Mantém vínculos entre arquivos NTFS em um computador ou através de computadores em uma rede."
Cliente DHCP;Dhcp;Automatic;Win32OwnProcess, Win32ShareProcess;"Registra e atualiza endereços IP e registros DNS para este computador. Se o serviço for interrompido, o computador não receberá endereços IP dinâmicos e atualizações de DNS. Se o serviço for desabilitado, qualquer serviço que dependa dele explicitamente não será iniciado."
Cliente DNS;Dnscache;Automatic;Win32OwnProcess, Win32ShareProcess;"O serviço Cliente DNS (dnscache) armazena em cache os nomes do Sistema de Nome de Domínio (DNS) e registra o nome completo deste computador. Se o serviço for interrompido, os nomes DNS continuarão a ser resolvidos. Contudo, os resultados de consultas de nomes DNS não serão armazenados em cache e o nome do computador não será registrado. Se o serviço for desabilitado, todos os serviços que dependam diretamente dele não serão inicializados."
Coletor de Eventos do Windows;Wecsvc;Manual;Win32ShareProcess;"Esse serviço gerencia assinaturas persistentes em eventos de origens remotas que oferecem suporte ao protocolo WS-Management. Isso inclui logs de eventos do Windows Vista, origens de eventos de hardware e com IPMI habilitado. O serviço armazena eventos enviados em um Log de Eventos local. Se esse serviço for interrompido ou desabilitado, assinaturas de eventos não poderão ser criadas e os eventos enviados não poderão ser aceitos."
COM+ evento do sistema;EventSystem;Automatic;Win32OwnProcess, Win32ShareProcess;"Oferece suporte ao Serviço de Notificação de Eventos do Sistema (SENS), que fornece a distribuição automática de eventos para inscrição de componentes do Modelo de Objeto de Componente (COM). Se o serviço for interrompido, o SENS fechará e não poderá fornecer notificações de logon e logoff. Se este serviço for desabilitado, os serviços que dependerem explicitamente dele não serão inicializados."
COM+ System Application;COMSysApp;Manual;Win32OwnProcess;"Gerencia a configuração e o rastreamento de componentes baseados no Modelo de Objeto de Componente (COM)+. Se o serviço for interrompido, a maioria dos componentes baseados no COM+ não funcionará corretamente. Se esse serviço for desabilitado, os serviços que dependerem explicitamente dele não serão iniciados."
Conexão Fácil do Windows - Registrador de Configuração;wcncsvc;Manual;Win32ShareProcess;"O WCNCSVC hospeda a configuração da Conexão Fácil do Windows, que é a implementação da Microsoft para protocolo WPS. Ele é usado para definir configurações de LAN sem fio para um ponto de acesso ou dispositivo Wi-Fi. O serviço é iniciado programaticamente quando necessário."
Conexões de Rede;Netman;Manual;Win32OwnProcess, Win32ShareProcess;"Gerencia objetos da pasta de Conexões de Rede e Discadas, na qual você pode exibir conexões remotas e de rede local."
Configuração Automática com Fio;dot3svc;Manual;Win32ShareProcess;"O Serviço de Configuração Automática de Rede com Fio (DOT3SVC) é responsável pela autenticação IEEE 802.1X em interfaces Ethernet. Se a sua implantação atual de rede com fio exige autenticação 802.1X, o serviço DOT3SVC deve ser configurado para ser executado a fim de estabelecer conectividade de Camada 2 e/ou fornecer acesso aos recursos de rede. As redes com fio que não exigem autenticação 802.1X não são afetadas pelo serviço DOT3SVC."
Configuração Automática de WLAN;WlanSvc;Automatic;Win32OwnProcess;"O serviço WLANSVC fornece a lógica necessária para configurar, descobrir, se conectar e desconectar de uma WLAN (rede local sem fio), conforme definido pelos padrões IEEE 802.11. Ele também contém a lógica para transformar seu computador em um ponto de acesso de software, assim outros dispositivos ou computadores poderão se conectar ao seu computador sem fios usando um adaptador WLAN que suporte isso. Interromper ou desabilitar o serviço WLANSVC tornará todos os adaptadores WLAN em seu computador inacessíveis da IU da rede do Windows. Recomenda-se com veemência que o serviço WLANSVC seja executado se o seu computador tiver um adaptador WLAN."
Configuração Automática de WWAN;WwanSvc;Manual;Win32ShareProcess;"Esse serviço gerencia placas de dados/adaptadores de módulo inseridos de banda larga móvel (GSM & CDMA) por meio da configuração automática das redes. É altamente recomendado que o serviço seja mantido ativado para uma melhor experiência dos usuários de dispositivos de banda larga móveis."
Configuração da Área de Trabalho Remota;SessionEnv;Manual;Win32ShareProcess;"O serviço RDCS (serviço de Configuração da Área de Trabalho Remota) é responsável por todos os Serviços da Área de Trabalho Remota e atividades de manutenção de sessão e configuração relacionadas à Área de Trabalho Remota que exigem contexto SYSTEM. Isso inclui pastas temporárias por sessão, temas de RD e certificados de RD."
ConsentUX_1c1eca42;ConsentUxUserSvc_1c1eca42;Manual;240;"Permite Configurações de ConnectUX e PC para Conectar e Emparelhar com telas WiFi e dispositivos Bluetooth."
Construtor de Pontos de Extremidade de Áudio do Windows;AudioEndpointBuilder;Automatic;Win32OwnProcess, Win32ShareProcess;"Gerencia dispositivos de áudio para o serviço Áudio do Windows. Se esse serviço for interrompido, os dispositivos e os efeitos de áudio não funcionarão corretamente. Se esse serviço estiver desabilitado, qualquer serviço que dependa explicitamente dele não será iniciado"
Controles dos Pais;WpcMonSvc;Manual;Win32OwnProcess;"Impõe controles dos pais para contas de criança no Windows. Se este serviço for interrompido ou desabilitado, os controles dos pais não poderão ser impostos."
Contêiner do Microsoft Passport;NgcCtnrSvc;Manual;Win32OwnProcess, Win32ShareProcess;"Gerencia as chaves de identidade do usuário local usadas para a autenticação em provedores de identidade, além de cartões inteligentes virtuais do TPM. Se esse serviço estiver desabilitado, as chaves de identidade do usuário local e os cartões inteligentes virtuais não estarão acessíveis. É recomendável não reconfigurar esse serviço."
Coordenador de transações distribuídas;MSDTC;Manual;Win32OwnProcess;"Coordena as transações que incluem vários gerenciadores de recursos, como bancos de dados, filas de mensagens e sistemas de arquivos. Se esse serviço for interrompido, essas transações falharão. Se o serviço for desabilitado, os serviços que dependerem explicitamente dele não serão inicializados."
CoreMessaging;CoreMessagingRegistrar;Automatic;Win32ShareProcess;"Manages communication between system components."
Corsair Gaming Audio Configuration Service;CorsairGamingAudioConfig;Manual;Win32OwnProcess;"Corsair Gaming Audio Configuration Service"
Corsair Service;CorsairService;Manual;Win32OwnProcess;"Corsair Service"
CredentialEnrollmentManagerUserSvc_1c1eca42;CredentialEnrollmentManagerUserSvc_1c1eca42;Manual;208;"Gerenciador de Registros de Credenciais"
